iter	RMSE
220	1.449429722
221	1.448442831
222	1.445319054
223	1.443831752
224	1.440879506
225	1.438094777
226	1.434661271
227	1.433256647
228	1.43046567
229	1.429684983
230	1.428135165
231	1.425431945
232	1.421678143
233	1.41857701
234	1.414040697
235	1.41141409
236	1.40873668
237	1.405914549
238	1.401778762
239	1.397718486
240	1.395016997
241	1.391808081
242	1.390659058
243	1.388163327
244	1.385160474
245	1.384306631
246	1.382189075
247	1.379673115
248	1.378790298
249	1.377588735
250	1.371645654
251	1.367343004
252	1.361872546
253	1.35768149
254	1.355361242
255	1.352386416
256	1.349664302
257	1.345222391
258	1.343089267
259	1.339016195
260	1.336081202
261	1.330086949
262	1.326130993
263	1.321098646
264	1.320399926
265	1.315088952
266	1.313023184
267	1.310551988
268	1.309129671
269	1.303241871
270	1.301571734
271	1.298038832
272	1.294346765
273	1.292160114
274	1.286803584
275	1.284739705
276	1.280642089
277	1.279717065
278	1.278391716
279	1.277661852
280	1.274118062
281	1.271341765
282	1.267832654
283	1.267263707
284	1.266257891
285	1.261965627
286	1.259348302
287	1.257332629
288	1.253740897
289	1.24856198
290	1.247247706
291	1.242763066
292	1.240314802
293	1.238009186
294	1.234932009
295	1.233423573
296	1.231285888
297	1.230623487
298	1.228713253
299	1.224696475
300	1.218972156
301	1.217128908
302	1.211855438
303	1.208113984
304	1.205639824
305	1.204085846
306	1.199716609
307	1.196775647
308	1.196332057
309	1.193224647
310	1.188427773
311	1.183197333
312	1.182535284
313	1.179060264
314	1.174687854
315	1.172692104
316	1.169839138
317	1.165364789
318	1.162773339
319	1.160541489
320	1.157961234
321	1.153624526
322	1.148666043
323	1.144511332
324	1.141917873
325	1.138534593
326	1.138167353
327	1.133888115
328	1.132683156
329	1.130499453
330	1.128498556
331	1.126548328
332	1.125363763
333	1.124909282
334	1.121670552
335	1.117693284
336	1.113311721
337	1.110912865
338	1.109140037
339	1.107738309
340	1.105660278
341	1.102636036
342	1.10219439
343	1.100535939
344	1.096827562
345	1.093700751
346	1.092637071
347	1.089018167
348	1.088105813
349	1.087628657
350	1.087233182
351	1.085297141
352	1.083367756
353	1.079954125
354	1.079389941
355	1.077376632
356	1.07653692
357	1.073781674
358	1.070466702
359	1.068621489
360	1.065264047
361	1.06412908
362	1.060220142
363	1.058115039
364	1.057702014
365	1.055163196
366	1.053142533
367	1.049473502
368	1.046624761
369	1.043080912
370	1.039421756
371	1.038237853
372	1.036535602
373	1.034966417
374	1.03122864
375	1.028790149
376	1.027291681
377	1.025685134
378	1.02216147
379	1.018374928
380	1.01682107
381	1.015534373
382	1.012511002
383	1.012150967
384	1.009430399
385	1.006396202
386	1.003279265
387	1.001136862
388	1.000789232
389	0.9973904105
390	0.9970350252
391	0.9956451932
392	0.9921303629
393	0.9904573997
394	0.9876499121
395	0.9838114277
396	0.981480067
397	0.9812096022
398	0.9776818715
399	0.9748890804
400	0.973012133
401	0.9705018506
402	0.9681862795
403	0.9654374871
404	0.9618364107
405	0.9586377085
406	0.9550021302
407	0.9523002782
408	0.948895052
409	0.9465964238
410	0.9418961153
411	0.9407124709
412	0.9376925534
413	0.9373657169
414	0.9351223046
415	0.9347161695
416	0.9336202394
417	0.9314266551
418	0.9284184189
419	0.9272917731
420	0.9249361552
421	0.922774246
422	0.9203268476
423	0.9170882787
424	0.9140308789
425	0.9128727351
426	0.9101982644
427	0.9097795058
428	0.906668732
429	0.9041359953
430	0.9017860458
431	0.8994935175
432	0.8969186838
433	0.8939193792
434	0.8918489092
435	0.8899630891
436	0.8877101399
437	0.8854136402
438	0.8832219655
439	0.8818774324
440	0.8793118841
441	0.8790846931
442	0.8787648023
443	0.8782007786
444	0.8748369629
445	0.8736723111
446	0.8708803689
447	0.8688935857
448	0.8676863617
449	0.8659996942
450	0.8641313823
451	0.8639018852
452	0.8601968179
453	0.8599366993
454	0.8569708636
455	0.8547739085
456	0.8534770513
457	0.8513301157
458	0.8498748731
459	0.8480250321
460	0.8454851991
461	0.8421860197
462	0.8391075805
463	0.8369949204
464	0.834072012
465	0.8309264421
466	0.8279443887
467	0.82748815
468	0.8251674966
469	0.8227461997
470	0.8221666576
471	0.8210933443
472	0.8177192896
473	0.8160066972
474	0.8134320885
475	0.813042282
476	0.8117816319
477	0.8103357904
478	0.8101120625
479	0.8077029091
480	0.8072231936
481	0.8056825719
482	0.8055003127
483	0.8037990978
484	0.8018315761
485	0.7994283848
486	0.7978321885
487	0.7968772212
488	0.7943608876
489	0.7941605675
490	0.7939648157
491	0.7914460451
492	0.7904594672
493	0.787731673
494	0.7861673914
495	0.7837812515
496	0.7812021683
497	0.7804870349
498	0.7798624513
499	0.7782476543
500	0.7755799632
501	0.7742277741
502	0.7719329736
503	0.7704837859
504	0.7674650158
505	0.7655755384
506	0.7629932801
507	0.7616076317
508	0.7588362931
509	0.7583944036
510	0.7564103276
511	0.7550001524
512	0.7546142292
513	0.7523708016
514	0.7507539626
515	0.7487286416
516	0.7467838571
517	0.7438240789
518	0.7422029294
519	0.740228561
520	0.7392012416
521	0.7379622432
522	0.7362687437
523	0.7345733834
524	0.732811499
525	0.730722455
526	0.7276535648
527	0.7243970674
528	0.7230635301
529	0.7204583144
530	0.7195568489
531	0.7180212141
532	0.7167500432
533	0.7165503683
534	0.7137760755
535	0.7120848434
536	0.7107635643
537	0.708437379
538	0.7076530387
539	0.7061252152
540	0.7053963674
541	0.7034712832
542	0.7026686785
543	0.699798819
544	0.6976045994
545	0.6973326273
546	0.6966444833
547	0.6958199629
548	0.6934720742
549	0.6915053993
550	0.6897375333
551	0.689336509
552	0.6879063319
553	0.6859350506
554	0.6853216369
555	0.6838825942
556	0.6828083739
557	0.68247279
558	0.6816306341
559	0.6798912333
560	0.677481062
561	0.677364421
562	0.6759394963
563	0.6737539911
564	0.6727074389
565	0.6701939221
566	0.6686286779
567	0.6678592484
568	0.6665348287
569	0.6654337743
570	0.6634780637
571	0.6619185959
572	0.6614949785
573	0.6600738297
574	0.6594849357
575	0.6588942901
576	0.6587788558
577	0.6565917283
578	0.6545693291
579	0.6528358192
580	0.6520131977
581	0.6516767431
582	0.650622412
583	0.6488728675
584	0.6472771818
585	0.6449765951
586	0.6445042983
587	0.6424488187
588	0.6401304347
589	0.6385237463
590	0.6365109032
591	0.6359451686
592	0.6346693275
593	0.6343137757
594	0.632364814
595	0.6301772783
596	0.6282610908
597	0.6270316677
598	0.6247657401
599	0.6243690427
600	0.6227938269
601	0.6213093415
602	0.6202506582
603	0.6192690849
604	0.618873182
605	0.6170234668
606	0.6152435156
607	0.6136274654
608	0.6122200618
609	0.6114455442
610	0.6094192833
611	0.6085972103
612	0.6068306798
613	0.6062953977
614	0.6035376891
615	0.6012301767
616	0.5999785617
617	0.5987409371
618	0.5982780813
619	0.5963330247
620	0.5945428747
621	0.5927284613
622	0.5917740466
623	0.5913447927
624	0.5909589258
625	0.5899958681
626	0.5892604129
627	0.5878627963
628	0.5860928494
629	0.5847148565
630	0.5841101304
631	0.5831793591
632	0.5828572332
633	0.5815438453
634	0.5804078576
635	0.5803022066
636	0.5792279755
637	0.5778021422
638	0.5760486012
639	0.5757613725
640	0.5741792182
641	0.5729092491
642	0.5713823577
643	0.5708296217
644	0.5706367172
645	0.5693745939
646	0.5667843142
647	0.5648186892
648	0.5631580366
649	0.5624166699
650	0.5612821266
651	0.5603727519
652	0.5588730722
653	0.5582301356
654	0.557148999
655	0.5557077793
656	0.5542911054
657	0.5525643094
658	0.5509319111
659	0.5501390613
660	0.5487527565
661	0.5480301819
662	0.5463947267
663	0.5451305449
664	0.5445463061
665	0.5427729374
666	0.5420580038
667	0.5403022138
668	0.5389510413
669	0.5384354639
670	0.5380046152
671	0.5365165467
672	0.5352879374
673	0.533561926
674	0.5329293787
675	0.5322634749
676	0.5313712955
677	0.5308118782
678	0.5293867472
679	0.5279636209
680	0.5260876091
681	0.5257143453
682	0.5255271576
683	0.5253182664
684	0.5250347987
685	0.5248210358
686	0.5236244169
687	0.5221060659
688	0.5205220234
689	0.5195769052
690	0.5182256804
691	0.5169615078
692	0.5163109866
693	0.5151847587
694	0.5138106768
695	0.5124634535
696	0.5118304803
697	0.5099328744
698	0.5089217785
699	0.5077975301
700	0.5069398465
701	0.5061492138
702	0.5053345497
703	0.5043859063
704	0.5041640298
705	0.5039967537
706	0.5024551365
707	0.5012166054
708	0.5003014757
709	0.4985938217
710	0.4980141578
711	0.4975734679
712	0.4960121788
713	0.4946960629
714	0.4942068838
715	0.4920947489
716	0.4912487538
717	0.4895590267
718	0.4884188456
719	0.4877528698
720	0.4872019159
721	0.4866098684
722	0.4855127922
723	0.4839906255
724	0.4833375734
725	0.4821248653
726	0.4814593956
727	0.4807232498
728	0.4804358452
729	0.4791448775
730	0.4775657773
731	0.4767686093
732	0.475191688
733	0.4749543931
734	0.4734116026
735	0.4727774404
736	0.4720282521
737	0.4704086837
738	0.4697665952
739	0.4686352132
740	0.4671358336
741	0.4662229421
742	0.4660250189
743	0.4650392972
744	0.4645674544
745	0.4634531799
746	0.4623355163
747	0.4611428565
748	0.4601905141
749	0.4590705399
750	0.458069079
751	0.4570884249
752	0.456054509
753	0.4556611964
754	0.4544889956
755	0.4538836505
756	0.4528320823
757	0.4521110959
758	0.4510167459
759	0.4503542735
760	0.4488941181
761	0.4485225888
762	0.4476956584
763	0.4467209571
764	0.4463930748
765	0.445855087
766	0.4438658946
767	0.4429742917
768	0.4418316091
769	0.4411192343
770	0.4395905699
771	0.4387818068
772	0.4376922595
773	0.4369197784
774	0.4357695178
775	0.4344565435
776	0.4331605284
777	0.4329917633
778	0.4322422739
779	0.4310307952
780	0.4301158821
781	0.4295712682
782	0.4282377832
783	0.4277299039
784	0.4267729649
785	0.4257547379
786	0.4247464197
787	0.4234268858
788	0.4220495297
789	0.4212237715
790	0.420959456
791	0.4203821881
792	0.4192650319
793	0.4188292619
794	0.4187093876
795	0.4179809323
796	0.4169563825
797	0.4159622999
798	0.4156653021
799	0.4148221577
800	0.4139694617
801	0.4126941404
802	0.4115755668
803	0.4108076939
804	0.40978969
805	0.4089051272
806	0.407718442
807	0.4072269722
808	0.4062179683
809	0.4053006696
810	0.404792296
811	0.4034983696
812	0.4033536214
813	0.4028326113
814	0.4024696594
815	0.4021660552
816	0.4008370652
817	0.399789895
818	0.3994421604
819	0.3989811586
820	0.3987486592
821	0.3983238446
822	0.3974688627
823	0.3962014178
824	0.3948695374
825	0.3933861527
826	0.3924318756
827	0.3915389373
828	0.391157559
829	0.3898833624
830	0.389148414
831	0.3882185297
832	0.3871701652
833	0.3867348716
834	0.3858162951
835	0.3850237983
836	0.3841222819
837	0.3834870354
838	0.3830129739
839	0.382348909
840	0.3811793338
841	0.3801617377
842	0.3789020472
843	0.3783126466
844	0.3770587825
845	0.3765372446
846	0.3755645955
847	0.3747079414
848	0.3742225673
849	0.3740652554
850	0.3736492236
851	0.3730321596
852	0.3724258725
853	0.37136416
854	0.3707330988
855	0.3705557052
856	0.370174773
857	0.369817711
858	0.3692279796
859	0.3680278203
860	0.3672897572
861	0.3671313413
862	0.3668064422
863	0.3660298823
864	0.3645463234
865	0.3638497397
866	0.363366819
867	0.3629751216
868	0.3622152605
869	0.3613095986
870	0.3609066434
871	0.3600774979
872	0.359052793
873	0.3583421652
874	0.3576304809
875	0.3574785134
876	0.3564008593
877	0.3554628028
878	0.3544928133
879	0.3537100192
880	0.3532455028
881	0.3525124784
882	0.352178309
883	0.3517035166
884	0.3510757135
885	0.3494164393
886	0.3487763855
887	0.3481165947
888	0.3474195856
889	0.3464556182
890	0.346014982
891	0.3457446
892	0.3451047781
893	0.3440404178
894	0.3433800463
895	0.3429295796
896	0.3421942215
897	0.3412156055
898	0.3400637288
899	0.3398722356
900	0.3395773726
901	0.3392888078
902	0.33875181
903	0.3380422442
904	0.3377242098
905	0.3374514244
906	0.3362830383
907	0.3356809877
908	0.3350749926
909	0.3342745938
910	0.3341893387
911	0.3340029843
912	0.3336161958
913	0.3326948096
914	0.3318290937
915	0.3310702658
916	0.3305794819
917	0.3294133831
918	0.3288235978
919	0.3274846021
920	0.3273822032
921	0.3268514536
922	0.3267390022
923	0.3261539398
924	0.3254354292
925	0.3246141591
926	0.3240720958
927	0.3224650832
928	0.3213341336
929	0.3211980087
930	0.3202668433
931	0.3199534686
932	0.3192292205
933	0.3183838926
934	0.3174724054
935	0.3166313985
936	0.3157690462
937	0.3155539695
938	0.3151326214
939	0.3150061369
940	0.3148514992
941	0.3144593343
942	0.3143487432
943	0.3138121463
944	0.3136747961
945	0.3129013191
946	0.3125687261
947	0.3118023972
948	0.3115089071
949	0.3109023942
950	0.3100023059
951	0.3095252552
952	0.30866257
953	0.3077547471
954	0.3074130033
955	0.30622346
956	0.305193425
957	0.3047291179
958	0.3043768677
959	0.3039751145
960	0.3034635839
961	0.3028759972
962	0.3022422335
963	0.3014670826
964	0.3010633691
965	0.3003105043
966	0.300137113
967	0.2996539271
968	0.2987418297
969	0.2981573073
970	0.2975437223
971	0.2972664491
972	0.2967164628
973	0.296162776
974	0.2955726292
975	0.2950631318
976	0.2941699227
977	0.2930953132
978	0.2926479258
979	0.2925523805
980	0.2916076474
981	0.2911643589
982	0.2906373944
983	0.2901213414
984	0.2895063283
985	0.2887170744
986	0.2878547269
987	0.2871591154
988	0.2863781814
989	0.2854796818
990	0.2852518794
991	0.2848018557
992	0.2841255513
993	0.283998866
994	0.2833059762
995	0.283024434
996	0.2827556583
997	0.2822662394
998	0.2813173815
999	0.2806187346
